정류장ID,정류장명,위도,경도,노선 개수,승차 비율,하차 비율,환승 비율,고정인구,유동인구,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부,대중교통 연계,주변 건물,이용량,이용량_보정,입지 점수
293055058,세종고속시외버스터미널,36.4689905,127.2735878,25,0.35444518,0.440835502,0.204719318,1082,53839,5.7,118.7,3.50877193,0,6,21,572159,572159,3.2809643310743675
293055059,세종고속시외버스터미널,36.46881,127.2735046,22,0.430216485,0.281598549,0.288184967,1168,53839,21.4,38.1,0.934579439,0,6,21,599719,599719,2.33631704089429
293056002,도담동,36.51483,127.25896,4,0.573984783,0.313249889,0.112765328,4526,62262,10.4,508.0,2.403846154,1,24,475,543997,212687,2.069288889887254
293056001,도담동(도램마을),36.5149714,127.2587943,10,0.291665823,0.623974722,0.0843594552,4526,62262,10.4,508.0,2.403846154,1,23,477,543389,212449,2.0470084118062832
293056004,도담동(도램마을),36.514017,127.2593948,9,0.562926838,0.147388834,0.289684328,5089,62262,20.2,423.6,1.237623762,1,23,483,679122,265517,1.8251436123461977
293064079,"시청,시의회,교육청,세무서",36.478188,127.288035,5,0.444334669,0.493329994,0.0623353371,2887,30530,16.5,164.6,1.515151515,0,20,760,215592,215592,1.6396174188650046
293062005,정부세종청사남측,36.5008322,127.2593406,11,0.478709721,0.240969147,0.280321132,18,107847,31.8,255.6,0.786163522,0,17,109,382522,382522,1.6265463143259933
293056003,도담동,36.5140662,127.259188,5,0.406811019,0.497739131,0.0954498501,5574,62262,20.2,423.6,1.237623762,1,24,483,454029,177512,1.4899590317825109
293064080,"시청,시의회,교육청,세무서",36.478828,127.288963,5,0.567654984,0.358058783,0.074286233,2937,30530,21.2,158.1,1.179245283,0,19,744,209312,209312,1.4454105815577893
293062008,정부세종청사남측,36.5016046,127.2601032,10,0.364231591,0.448816594,0.186951815,195,107847,34.4,312.6,0.726744186,0,17,80,341810,341810,1.4199593864399893
293064269,과학기술정보통신부,36.4959777,127.2634881,3,0.654153595,0.311178462,0.0346679428,1222,107847,7.7,152.0,3.246753247,0,16,367,56421,56421,1.3969919701829685
