정류장ID,정류장명,위도,경도
293001092,죽림리,36.59127,127.29897
293001093,효성세종병원,36.59705,127.29895
293001094,조치원버스터미널,36.6024592,127.3035236
293001096,조치원버스터미널,36.6026983,127.3036683
293001097,죽림리,36.5966487,127.2958117
293010006,대교리,36.5009348,127.210551
293010007,봉안리,36.49935893,127.2190046
293010008,봉안리,36.49926399,127.2190617
293010011,금암리(웅대원룸),36.44176087,127.2088036
293010012,금암리(어반스테이),36.44601649,127.2106385
293010013,금암리(그린원룸),36.45112248,127.2105076
293010014,금암리(솔정자),36.45532047,127.2112425
293010015,금암리(사기정골),36.45776728,127.2119781
293010023,송정리.세종요양병원,36.50214695,127.1785737
293010026,대교리(정계),36.50926645,127.2175266
293010027,대교리(정계),36.50918708,127.2175111
293011001,봉안리(다름고개),36.4990185,127.2291006
293011002,도남리,36.44575,127.23259
293011003,도남리,36.44587,127.23284
293011004,도남리마을회관,36.44309,127.23341
293011005,금강수목원(산림박물관),36.43782,127.23549
293011006,금강수목원(산림박물관),36.4378,127.23567
293011007,원봉1리,36.44815,127.23738
293011008,원봉1리,36.45007,127.23924
293011009,원봉1리마을회관,36.45129,127.23931
293011010,원봉2리,36.44738,127.24399
293011011,원봉2리마을회관,36.44547,127.2468
293011013,성강리마을회관,36.41316,127.25331
293011014,성강리마을회관,36.41255,127.25409
293011015,영곡2리,36.45872,127.2553
293011016,영곡2리,36.44812,127.25838
293011017,영곡리,36.45172,127.26405
293011018,성덕1리,36.46097,127.26644
293011019,성덕2리,36.45575,127.26691
293011020,국곡리32사단,36.427,127.26875
293011021,도암리,36.4457,127.27562
293011022,국곡리,36.42802,127.27674
293011023,국곡리,36.42818,127.27676
293011024,도암리마을회관,36.44374,127.27825
293011025,용담1리(옹기마을),36.42655,127.28053
293011026,용담1리(옹기마을),36.4267,127.28061
293011027,금남면사무소,36.46423,127.28098
293011028,금남면사무소,36.46472,127.28097
293011029,용포리,36.46842,127.2813
293011030,용포리,36.46863,127.28135
293011031,두만리,36.43423,127.28279
293011032,두만리,36.4342,127.28305
293011033,발산리,36.45638,127.28405
293011034,발산리,36.45648,127.28418
293011035,용담리(32사 방면),36.42269,127.28438
293011036,용담리,36.42278,127.28449
293011037,도암리입구,36.44731,127.28557
293011038,도암리입구,36.44691,127.28575
