정류장ID,정류장명,위도,경도,노선 개수,승차 비율,하차 비율,환승 비율,고정인구,유동인구,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부,대중교통 연계,주변 건물,이용량,이용량_보정,입지 점수
293062013,정부세종청사북측,36.5051501,127.261382,11,0.439853065,0.459796654,0.100350282,414,107847,36.1,323.8,0.692520776,거짓,22,137,240378,240378,1.115284793
293053003,"새롬동,나성동(청소년센터)",36.4877395,127.2571293,5,0.393344816,0.517296837,0.0893583465,3117,83219,27.2,311.4,0.919117647,TRUE,28,904,192752,75360,1.108154071
293062012,정부세종청사북측,36.5048938,127.2616877,10,0.500307317,0.330810328,0.168882356,566,107847,29.1,359.2,0.859106529,거짓,21,64,232659,232659,1.100885343
293064026,종촌종합복지센터,36.5022184,127.2474138,2,0.654502225,0.307581462,0.0379163139,4926,88689,13.7,406.4,1.824817518,거짓,21,349,55517,55517,1.071307927
293064210,"시청,시의회,교육청,세무서",36.478356,127.288188,4,0.512650772,0.4301917,0.057157528,2887,30530,16.5,164.6,1.515151515,TRUE,20,760,198644,77664,1.040461887
293064254,"법원.검찰청,경찰청",36.486842,127.301429,3,0.461323521,0.514087232,0.0245892478,2771,9302,10.6,132.6,2.358490566,TRUE,18,392,116311,45474,0.994539927
293064436,한국산업인력공단(세종지사),36.4903,127.256369,5,0.269324499,0.707689864,0.0229856368,3600,83219,26.3,434.7,0.950570342,TRUE,20,814,220355,86152,0.971194805
293064241,"새뜸마을5,8단지",36.4825015,127.2535174,4,0.444738589,0.503108643,0.0521527676,3089,61979,13.2,115.3,1.515151515,거짓,17,229,115967,115967,0.930525772
293064031,종촌종합복지센터,36.5019154,127.246929,2,0.429097254,0.55364612,0.0172566266,4419,88689,12.4,378.2,2.016129032,거짓,16,261,41839,41839,0.911270463
293064211,"시청,시의회,교육청,세무서",36.478674,127.288769,4,0.455553323,0.509679796,0.034766881,3577,30530,21.2,158.1,1.179245283,TRUE,20,772,179136,70037,0.909121829
293064350,나릿재마을,36.4912197,127.2581891,2,0.428327991,0.525013186,0.0466588226,4852,83219,21.8,268,1.146788991,거짓,20,870,24647,24647,0.877041956
293064205,"가락마을7,8단지",36.5051871,127.240274,3,0.704628145,0.274011923,0.0213599316,7517,195759,14.5,150,1.034482759,거짓,12,32,104167,104167,0.865598301
293064351,대평동커뮤니티센터,36.4724194,127.2790898,3,0.465281449,0.460998613,0.0737199378,4016,53839,18.5,50,1.081081081,거짓,16,267,130521,130521,0.847308016
293064353,대평동커뮤니티센터,36.4722476,127.2788336,3,0.571018005,0.371813872,0.0571681228,4390,53839,18.2,53.8,1.098901099,거짓,16,286,122131,122131,0.8467184
293064349,나릿재마을,36.4914044,127.2581439,2,0.523844588,0.43232122,0.0438341924,5025,83219,21.9,252.3,1.141552511,거짓,18,882,23087,23087,0.838376783
293064263,다정동커뮤니티센터,36.495506,127.249035,4,0.38319766,0.586080045,0.0307222953,5359,40431,22.1,109.1,0.904977376,거짓,15,269,135374,135374,0.826304519
293064142,대법원등기정보센터,36.5121017,127.2423505,2,0.21874676,0.760252366,0.0210008738,2786,151477,14.3,106.3,1.748251748,거짓,11,305,67521,67521,0.816048555
293064158,"가락마을7,8단지",36.5055858,127.2395189,3,0.367639868,0.613816578,0.0185435543,6518,195759,14.5,137,1.034482759,거짓,11,26,104295,104295,0.789748223
293064007,한솔중학교(첫마을7단지),36.47538,127.25558,4,0.566066933,0.41698809,0.0169449769,2849,61979,14.1,99.8,1.773049645,거짓,7,23,129891,129891,0.763064018
293064125,가재마을7단지,36.5049528,127.248745,2,0.609791601,0.369347576,0.0208608231,7115,88689,32.5,23.3,0.461538462,거짓,19,332,95490,95490,0.738506229
293064217,소담동(새샘마을),36.4827102,127.2973234,3,0.645858343,0.299459319,0.0546823381,5302,9302,33.6,136.4,0.744047619,거짓,23,189,107457,107457,0.735439579
293064068,가재마을7단지,36.5051417,127.2489733,2,0.433706196,0.545592945,0.0207008587,6376,88689,32.9,32.6,0.455927052,거짓,18,332,107725,107725,0.729185835
293062014,정부세종청사북측,36.5050692,127.2615051,4,0.516637577,0.414341093,0.0690213301,414,107847,36.1,323.8,0.692520776,TRUE,23,137,370697,144932,0.722892152
293062011,정부세종청사북측,36.504176,127.2611617,5,0.463306867,0.495281563,0.0414115701,193,107847,24.6,341.5,1.016260163,TRUE,21,32,343334,134233,0.703826326
293064005,첫마을6단지,36.47542,127.25308,6,0.571775646,0.342845655,0.0853786995,3896,61979,20.1,122.7,0.995024876,거짓,7,35,176578,176578,0.702416284
293064151,가재마을11단지,36.5043789,127.2501706,1,0.29449333,0.688362191,0.0171444791,5537,88689,19.2,102,1.041666667,거짓,21,354,35230,35230,0.691813554
293064054,"범지기마을8,12단지",36.5125038,127.2504125,2,0.498241309,0.482781186,0.0189775051,3462,151477,29.5,48.1,0.847457627,거짓,18,252,85575,85575,0.684860031
293064215,소담동(새샘마을),36.4823772,127.2977039,3,0.370788386,0.384403365,0.24480825,5894,9302,40.8,139.8,0.612745098,거짓,19,139,126258,126258,0.679690506
293064030,"종촌초등학교(가재마을1,2단지)",36.5018836,127.2425854,2,0.626779595,0.363079152,0.0101412532,5501,88689,12.4,378.2,2.016129032,거짓,9,44,35893,35893,0.679547633
293064262,"가온마을6,9단지",36.498607,127.24896,5,0.510963202,0.429079236,0.0599575618,5572,40431,18,179.5,1.111111111,거짓,11,78,110278,110278,0.631741952
293054003,다정동,36.4939251,127.2563976,4,0.590514918,0.381425695,0.0280593874,3030,83219,29.5,267.2,0.847457627,TRUE,18,308,231901,90666,0.627472623
293064114,"가락마을17,18단지",36.5195051,127.2347603,3,0.566126028,0.415689882,0.0181840898,1668,195759,21.2,47.7,1.179245283,거짓,10,223,88044,88044,0.604288085
293061005,"범지기마을6,11단지",36.51045,127.2498,2,0.790642258,0.18411691,0.0252408326,3712,151477,29.8,62.6,0.67114094,거짓,16,261,88547,88547,0.597338234
