LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK,택시 평균 속도,택시 평균 통행량
4130000500,4130030400,4130000300,1,104,0,-,학교말길,0,0,0,30,0,0,0,0,300.0162935,20230519,,,,39.6,12.3
4130288700,4130160400,4130164800,1,104,0,-,태산로,0,0,0,60,0,0,0,0,1727.073934,20230519,,,,24.4,3.1
4130288800,4130164800,4130160400,1,104,0,-,태산로,0,0,0,60,0,0,0,0,1714.522838,20230519,,,,27.5,3.4
4130288900,4130087800,4130093700,2,104,0,-,보듬8로,0,0,0,30,0,0,0,0,275.1238364,20230519,,,,22.9,128.6
4130289000,4130093700,4130087800,2,104,0,-,보듬8로,0,0,0,30,0,0,0,0,272.5322096,20230519,,,,22.2,118.4
4130291100,4130059900,4130060800,1,104,0,-,마음로,0,0,0,40,0,0,0,0,47.3273688,20230519,,,,24.6,14.8
4130290900,4130063800,4130063500,2,104,0,-,만남로,0,0,0,30,0,0,0,0,227.3658476,20230519,,,,22.7,26.7
4130290800,4130096400,4130093700,1,104,0,-,방축1길,0,0,0,30,0,0,0,0,355.9424333,20230519,,,,21.9,13.8
4130291900,4130060800,4130061000,1,104,0,-,마음로,0,0,0,40,0,0,0,0,140.4691073,20230519,,,,15.4,6.5
4130292000,4130061000,4130060800,1,104,0,-,마음로,0,0,0,40,0,0,0,0,147.2257268,20230519,,,,14.2,9.2
4130292200,4130088400,4130084000,2,104,0,-,세종1로,0,0,0,40,0,0,0,0,382.0401624,20230519,,,,16.2,109.1
4130292300,4130069700,4130070200,1,104,0,-,달빛1로,0,0,0,40,0,0,0,0,239.3720728,20230519,,,,30.8,73.7
4130292900,4130069700,4130067800,2,104,0,-,보듬7로,0,0,0,50,0,0,0,0,167.0900484,20230519,,,,27,146.7
4130293000,4130067800,4130069700,2,104,0,-,보듬7로,0,0,0,50,0,0,0,0,169.9508701,20230519,,,,15.4,64.6
4130292800,4130078600,4130084000,2,104,0,-,보듬7로,0,0,0,50,0,0,0,0,322.8569777,20230519,,,,30.3,170.4
