정류장ID,정류장명,기차역,고속/시외버스 터미널,택시 승강장,공영 주차장,어울링 대여소,승차,하차,환승,위도,경도
293064516,"새샘마을7,8단지",0,0,0,1,19,15350,29604,1789,36.48709,127.30017
293064515,"새샘마을7,8단지",0,0,0,1,19,29393,21356,1598,36.48683,127.29981
293064512,반곡고등학교,0,0,0,0,5,1556,0,0,36.49733,127.31655
293064511,반곡고등학교,0,0,0,0,4,9859,3377,185,36.4978363,127.3161531
293064524,"나릿재마을4,6단지",0,0,0,1,11,3051,6727,205,36.491527,127.261263
293064523,"나릿재마을 4,6단지",0,0,0,1,11,7822,6788,304,36.4916231,127.2611096
293051005,가람동(이마트앞),0,0,1,0,1,8793,8307,878,36.47061,127.2518
293051004,열병합발전소,0,0,0,0,2,545,1488,260,36.4654,127.24613
293051003,열병합발전소,0,0,0,0,2,1319,1554,150,36.46513,127.246
293900014,세종연구단지,0,0,1,0,8,2283,28269,168,36.4960327,127.3053012
293900013,세종연구단지,0,0,1,0,8,23406,2414,663,36.4962997,127.3055641
293053004,새롬동.나성동,0,0,2,0,23,162379,144709,7900,36.48771,127.25729
293900011,전통문화체험관,0,0,0,0,0,356,1202,5,36.5038919,127.2832104
293053003,"새롬동,나성동(청소년센터)",0,0,2,0,26,75818,99710,17224,36.4877395,127.2571293
293900010,세종소방서,0,0,0,0,4,5327,4013,99,36.5061679,127.2722563
293900009,세종소방서,0,0,0,0,4,2665,6398,52,36.5064823,127.272369
293052002,은하수공원,0,0,0,0,0,152,6474,42,36.532563,127.243964
293900034,대전세종연구원,0,0,0,0,16,1160,80,232,36.4894396,127.3023454
293052001,은하수공원,0,0,0,0,0,8566,1083,1297,36.53181,127.244421
293051006,가람동(이마트앞),0,0,1,0,1,5064,7454,1340,36.47062,127.25208
293054003,다정동,0,0,0,0,18,136941,88453,6507,36.4939251,127.2563976
293900019,한국개발연구원(KDI),0,0,0,0,7,10533,4803,6839,36.4819656,127.3084015
293053011,한솔동,0,0,1,3,13,119734,136208,14233,36.48034,127.26243
293900018,새나루마을1단지(후문),0,0,0,0,3,4587,11979,118,36.4837674,127.3176229
293053010,한솔동(첫마을),0,0,1,3,14,105621,49823,26547,36.4812897,127.2618716
293053009,한솔동,0,0,1,3,14,89513,60363,10887,36.4810822,127.2617829
293053008,한솔동(첫마을),0,0,1,3,14,55108,89117,11674,36.4811358,127.2615539
293056004,도담동(도램마을),0,0,2,0,21,382296,100095,196731,36.514017,127.2593948
293056003,도담동,0,0,2,0,22,184704,225988,43337,36.5140662,127.259188
293056002,도담동,0,0,2,0,22,312246,170407,61344,36.51483,127.25896
293056001,도담동(도램마을),0,0,2,0,21,158488,339061,45840,36.5149714,127.2587943
293055069,도램마을20단지,0,0,0,0,8,3448,6381,61,36.517445,127.264615
293055059,세종고속시외버스터미널,0,1,1,0,4,258009,168880,172830,36.46881,127.2735046
293055058,세종고속시외버스터미널,0,1,1,0,4,202799,252228,117132,36.4689905,127.2735878
293055002,세종고속시외버스터미널(지상),0,1,1,0,8,104415,100719,56635,36.4693014,127.2740033
293057002,한국조세재정연구원,0,0,0,0,6,12168,12475,1669,36.49285,127.30063
293057001,한국조세재정연구원,0,0,0,0,6,9966,9204,536,36.49277,127.30037
293056011,"도램마을16,19단지",0,0,0,0,6,3963,5485,107,36.51484,127.2660717
293056010,"도램마을16,19단지",0,0,0,0,7,6245,2549,219,36.51532,127.2659733
293056008,양지중학교,0,0,1,0,5,2552,2076,70,36.50843,127.26785
293056007,"도램마을14,15단지",0,0,0,0,8,1490,3380,41,36.51233,127.2668
293060004,한국개발연구원(KDI),0,0,0,0,9,15914,24462,6461,36.4825782,127.3074549
293060003,한국개발연구원(KDI),0,0,0,0,9,14490,11021,2609,36.48246,127.30716
293013007,운당1리,0,0,0,0,0,5363,1056,32,36.6979,127.15261
293062002,어진중학교(가재마을9단지),0,0,0,0,7,42722,65849,7503,36.4986553,127.2550362
293061007,범지기마을10단지,0,0,0,0,6,13526,32276,898,36.51879,127.25226
293061006,아름초등학교,0,0,0,0,11,22887,33912,692,36.5147,127.25062
293061005,"범지기마을6,11단지",0,0,0,0,16,70009,16303,2235,36.51045,127.2498
293062010,과기정통부(중기부),0,0,2,0,15,21149,5754,1560,36.49776,127.2605
