대여소 번호,대여소 아이디,대여소 이름,사용유무,주소(구),주소(동),상세주소,경도,위도,권역,지오펜스 거리,등록일,수정일
54,SJ_00054,한솔동_첫마을 404동앞,Y,세종,한솔동,세종특별자치시 한솔동 1229,127.253419,36.481052,2,30,2018-08-06 8:23,2021-12-27 18:59
55,SJ_00055,한솔동_첫마을 402동앞,Y,세종,한솔동,세종특별자치시 한솔동 1229,127.251569,36.480223,2,30,2018-08-06 8:24,2022-04-20 17:23
57,SJ_00057,한솔동_첫마을1단지,Y,세종,한솔동,세종특별자치시 한솔동 1231,127.259645,36.482133,2,30,2018-08-06 8:26,2021-10-11 11:31
58,SJ_00058,한솔동_첫마을3단지,Y,세종,한솔동,세종특별자치시 한솔동 1232,127.260369,36.479792,2,30,2018-08-06 8:27,2021-09-24 12:58
59,SJ_00059,나성동_한솔동금강프라자1,Y,세종,나성동,세종특별자치시 나성동 724,127.262571,36.479048,2,30,2018-08-06 8:29,2020-12-10 10:24
60,SJ_00060,나성동_한솔동금강프라자2,Y,세종,나성동,세종특별자치시 나성동 723,127.262328,36.479133,2,30,2018-08-06 8:30,2022-05-04 23:15
61,SJ_00061,새롬동_새뜸정문 102동앞,Y,세종,새롬동,세종특별자치시 새롬동 산77,127.248515,36.482801,2,50,2018-08-06 13:13,2020-12-10 10:24
62,SJ_00062,새롬동_새뜸5단지,Y,세종,새롬동,세종특별자치시 새롬동 341-114,127.251107,36.483183,2,30,2018-08-06 13:14,2020-12-10 10:24
63,SJ_00063,새롬동_새뜸8단지건너편,Y,세종,새롬동,세종특별자치시 새롬동 341-77,127.253073,36.484625,2,30,2018-08-06 13:15,2020-12-10 10:24
64,SJ_00064,새롬동_새뜸프라자앞,Y,세종,새롬동,세종특별자치시 새롬동 341-106,127.251999,36.4842,2,30,2018-08-06 13:17,2020-12-10 10:24
65,SJ_00065,새롬동_복합커뮤니티센터 옆,Y,세종,새롬동,세종특별자치시 새롬동 산75,127.251332,36.485046,2,30,2018-08-06 13:18,2020-12-10 17:49
66,SJ_00066,새롬동_세움빌딩앞,Y,세종,새롬동,세종특별자치시 새롬동 산75,127.250956,36.485164,2,30,2018-08-06 13:19,2020-12-10 10:24
67,SJ_00067,새롬동_행운빌딩,Y,세종,새롬동,세종특별자치시 새롬동 산26,127.250624,36.48579,2,35,2018-08-06 13:21,2020-12-10 10:24
68,SJ_00068,새롬동_오렌지빌딩,Y,세종,새롬동,세종특별자치시 새롬동 산6,127.250476,36.486842,2,30,2018-08-06 13:22,2020-12-10 10:24
69,SJ_00069,새롬동_해피라움W앞,Y,세종,새롬동,세종특별자치시 새롬동 산6,127.250668,36.486754,2,30,2018-08-06 13:22,2020-12-10 10:24
70,SJ_00070,새롬동_새뜸1003동건너편,Y,세종,새롬동,세종특별자치시 새롬동 산5,127.251418,36.487309,2,30,2018-08-06 13:37,2020-12-10 10:24
71,SJ_00071,새롬동_새뜸402동앞로터리,Y,세종,새롬동,세종특별자치시 새롬동 454-4,127.247663,36.48678,2,30,2018-08-06 13:38,2020-12-10 10:24
72,SJ_00072,새롬동_새뜸703동앞,Y,세종,새롬동,세종특별자치시 새롬동 302-1,127.250338,36.488113,2,35,2018-08-06 13:40,2021-03-25 8:06
73,SJ_00073,새롬동_새뜸705동앞,Y,세종,새롬동,세종특별자치시 새롬동 266,127.250133,36.489253,2,30,2018-08-06 13:50,2021-12-27 13:42
74,SJ_00074,새롬동_새롬종합복지센터좌,Y,세종,새롬동,세종특별자치시 새롬동 66-5,127.256033,36.485805,2,30,2018-08-06 13:52,2020-12-10 10:24
75,SJ_00075,나성동_명동프라자옆BRT,Y,세종,나성동,세종특별자치시 나성동 726,127.257124,36.487564,2,30,2018-08-06 13:54,2020-12-10 10:24
76,SJ_00076,다정동_다정초 봄빛문화공원,Y,세종,다정동,세종특별자치시 다정동 22-6,127.243401,36.493183,2,30,2018-08-06 14:18,2020-12-10 10:24
