정류장ID,정류장명,위도,경도,노선 개수,승차,하차,환승,승차 비율,하차 비율,환승 비율,고정인구,유동인구,기차역,고속/시외버스 터미널,택시 승강장,공영 주차장,어울링 대여소,상가,중고등학교,대학교,관광 명소,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부
293062027,공정거래위원회,36.504461,127.267198,5,21262,18215,915,0.526391365,0.450955635,0.0226530006,1389,107847,0,0,4,0,8,56,0,0,0,37.1,118.4,0.673854447,0
293062026,국무조정실(한뜰마을3단지),36.50383,127.27132,1,16460,9603,639,0.616433226,0.359635982,0.0239307917,1781,107847,0,0,1,0,9,90,0,0,2,27.7,153.5,0.902527076,0
293062025,국무조정실(한뜰마을3단지),36.50408,127.27115,1,15702,17408,293,0.470077538,0.521150795,0.00877166722,1541,107847,0,0,1,0,9,90,0,0,2,20.8,142.6,1.201923077,0
293062024,"양지중학교(한뜰마을1,2단지)",36.50712,127.26767,6,51878,51924,11867,0.448503921,0.448901607,0.102594472,2163,107847,0,0,2,0,8,9,2,0,0,30.1,150.8,0.830564784,0
293062021,공정거래위원회,36.50435,127.26735,5,26115,24442,1724,0.499512251,0.467512098,0.0329756508,1389,107847,0,0,3,0,9,56,0,0,0,31.8,103.3,0.786163522,0
293062020,정부세종청사 중앙동,36.50168,127.26609,4,8751,9279,561,0.470711635,0.499112474,0.0301758916,0,107847,0,0,2,0,8,17,0,0,1,51.8,64.5,0.482625483,0
293062019,정부세종청사 중앙동,36.50222,127.26608,4,7896,14044,278,0.355387524,0.632100099,0.0125123774,213,107847,0,0,4,0,8,17,0,0,0,45.2,83.1,0.553097345,0
293064007,한솔중학교(첫마을7단지),36.47538,127.25558,4,73527,54163,2201,0.566066933,0.41698809,0.0169449769,2849,61979,0,0,0,0,7,22,1,0,0,14.1,99.8,1.773049645,0
293064006,첫마을6단지,36.47503,127.25326,6,68499,80993,8271,0.434189259,0.513384,0.0524267414,3404,61979,0,0,0,0,5,33,1,0,0,20.9,123.6,0.956937799,0
293064005,첫마을6단지,36.47542,127.25308,6,100963,60539,15076,0.571775646,0.342845655,0.0853786995,3896,61979,0,0,0,0,7,33,2,0,0,20.1,122.7,0.995024876,0
